Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|##########| 290/290 [00:00<00:00, 14501.22it/s]
loaded; total_mlp_neurons=116736
[capture] task=coding activation shape on layer0: (1, 62, 4864) (B,S,intermediate)
[capture] task=math activation shape on layer0: (1, 20, 4864) (B,S,intermediate)
core neurons: 253
[sweep] step=50/498 control=low seed=None frac=0.0501 nll_target=0.7432041428983212 acc_target=0.5 elapsed=359.8s
[sweep] step=50/498 control=random seed=0 frac=0.0501 nll_target=0.8408929873257875 acc_target=0.375 elapsed=379.2s
[sweep] step=50/498 control=random seed=1 frac=0.0501 nll_target=0.8880186304450035 acc_target=0.6875 elapsed=396.3s
[sweep] step=50/498 control=random seed=2 frac=0.0501 nll_target=0.8374740201979876 acc_target=0.25 elapsed=416.5s
[sweep] step=51/498 control=low seed=None frac=0.0511 nll_target=0.7531378790736198 acc_target=None elapsed=417.5s
[sweep] step=51/498 control=random seed=0 frac=0.0511 nll_target=0.8333106301724911 acc_target=None elapsed=418.5s
[sweep] step=51/498 control=random seed=1 frac=0.0511 nll_target=0.8780502043664455 acc_target=None elapsed=419.4s
[sweep] step=51/498 control=random seed=2 frac=0.0511 nll_target=0.8499275594949722 acc_target=None elapsed=420.4s
[sweep] step=52/498 control=low seed=None frac=0.0521 nll_target=0.7470177747309208 acc_target=None elapsed=421.3s
[sweep] step=52/498 control=random seed=0 frac=0.0521 nll_target=0.8314312230795622 acc_target=None elapsed=422.3s
[sweep] step=52/498 control=random seed=1 frac=0.0521 nll_target=0.8607912249863148 acc_target=None elapsed=423.2s
[sweep] step=52/498 control=random seed=2 frac=0.0521 nll_target=0.8366514649242163 acc_target=None elapsed=424.2s
[sweep] step=53/498 control=low seed=None frac=0.0531 nll_target=0.738769568502903 acc_target=None elapsed=425.2s
[sweep] step=53/498 control=random seed=0 frac=0.0531 nll_target=0.8387565053999424 acc_target=None elapsed=426.2s
[sweep] step=53/498 control=random seed=1 frac=0.0531 nll_target=0.8710882216691971 acc_target=None elapsed=427.2s
[sweep] step=53/498 control=random seed=2 frac=0.0531 nll_target=0.8404872454702854 acc_target=None elapsed=428.3s
